munid,regiao,uf,municipio,latitude,longitude
5007406,Centro-Oeste,MS,Rio Verde de Mato Grosso,-18.916586,-54.842254
5007505,Centro-Oeste,MS,Rochedo,-19.961860,-54.892772
5007554,Centro-Oeste,MS,Santa Rita do Pardo,-21.305377,-52.828071
5007695,Centro-Oeste,MS,São Gabriel do Oeste,-19.395521,-54.564569
5007703,Centro-Oeste,MS,Sete Quedas,-23.983513,-55.053315
5007802,Centro-Oeste,MS,Selvíria,-20.366743,-51.418937
5007901,Centro-Oeste,MS,Sidrolândia,-20.931054,-54.966030
5007935,Centro-Oeste,MS,Sonora,-17.581355,-54.754906
5007950,Centro-Oeste,MS,Tacuru,-23.634742,-55.020321
5007976,Centro-Oeste,MS,Taquarussu,-22.489987,-53.351919
5008008,Centro-Oeste,MS,Terenos,-20.442308,-54.865557
5008305,Centro-Oeste,MS,Três Lagoas,-20.788679,-51.710001
5008404,Centro-Oeste,MS,Vicentina,-22.401788,-54.442125
5100102,Centro-Oeste,MT,Acorizal,-15.197890,-56.371553
5100201,Centro-Oeste,MT,Água Boa,-14.049087,-52.158915
5100250,Centro-Oeste,MT,Alta Floresta,-9.871723,-56.091610
5100300,Centro-Oeste,MT,Alto Araguaia,-17.315590,-53.220260
5100359,Centro-Oeste,MT,Alto Boa Vista,-11.676745,-51.379322
5100409,Centro-Oeste,MT,Alto Garças,-16.946722,-53.528454
5100508,Centro-Oeste,MT,Alto Paraguai,-14.514712,-56.494442
5100607,Centro-Oeste,MT,Alto Taquari,-17.834744,-53.281993
5100805,Centro-Oeste,MT,Apiacás,-9.565495,-57.395402
5101001,Centro-Oeste,MT,Araguaiana,-15.731243,-51.833622
5101209,Centro-Oeste,MT,Araguainha,-16.857546,-53.035620
5101258,Centro-Oeste,MT,Araputanga,-15.468144,-58.348367
5101308,Centro-Oeste,MT,Arenápolis,-14.455522,-56.844489
5101407,Centro-Oeste,MT,Aripuanã,-10.172524,-59.448616
5101605,Centro-Oeste,MT,Barão de Melgaço,-16.195099,-55.967121
5101704,Centro-Oeste,MT,Barra do Bugres,-15.066258,-57.186409
5101803,Centro-Oeste,MT,Barra do Garças,-15.888711,-52.260330
5101852,Centro-Oeste,MT,Bom Jesus do Araguaia,-12.173598,-51.503639
5101902,Centro-Oeste,MT,Brasnorte,-12.124938,-58.002674
5102504,Centro-Oeste,MT,Cáceres,-16.074096,-57.674762
5102603,Centro-Oeste,MT,Campinápolis,-14.539617,-52.797495
5102637,Centro-Oeste,MT,Campo Novo do Parecis,-13.654733,-57.888546
5102678,Centro-Oeste,MT,Campo Verde,-15.553704,-55.171655
5102686,Centro-Oeste,MT,Campos de Júlio,-13.719923,-59.263409
5102694,Centro-Oeste,MT,Canabrava do Norte,-11.046187,-51.837758
5102702,Centro-Oeste,MT,Canarana,-13.559230,-52.273457
5102793,Centro-Oeste,MT,Carlinda,-9.966666,-55.821615
5102850,Centro-Oeste,MT,Castanheira,-11.134108,-58.613409
5103007,Centro-Oeste,MT,Chapada dos Guimarães,-15.460570,-55.745005
5103056,Centro-Oeste,MT,Cláudia,-11.505311,-54.874182
5103106,Centro-Oeste,MT,Cocalinho,-14.390366,-51.011244
5103205,Centro-Oeste,MT,Colíder,-10.804090,-55.464231
5103254,Centro-Oeste,MT,Colniza,-9.457904,-59.218949
5103304,Centro-Oeste,MT,Comodoro,-13.660560,-59.790431
5103353,Centro-Oeste,MT,Confresa,-10.640731,-51.571034
5103361,Centro-Oeste,MT,Conquista D Oeste,-14.536273,-59.545074
5103379,Centro-Oeste,MT,Cotriguaçu,-9.886254,-58.606895
5103403,Centro-Oeste,MT,Cuiabá,-15.569989,-56.073252
5103437,Centro-Oeste,MT,Curvelândia,-15.609306,-57.917115
5103452,Centro-Oeste,MT,Denise,-14.733816,-57.053777
5103502,Centro-Oeste,MT,Diamantino,-14.401323,-56.433566
5103601,Centro-Oeste,MT,Dom Aquino,-15.807455,-54.917481
5103700,Centro-Oeste,MT,Feliz Natal,-12.383247,-54.933904
5103809,Centro-Oeste,MT,Figueirópolis D Oeste,-15.446135,-58.737825
5103858,Centro-Oeste,MT,Gaúcha do Norte,-13.188043,-53.261519
5103908,Centro-Oeste,MT,General Carneiro,-15.707042,-52.759310
5103957,Centro-Oeste,MT,Glória D Oeste,-15.767962,-58.314486
5104104,Centro-Oeste,MT,Guarantã do Norte,-9.954073,-54.916057
5104203,Centro-Oeste,MT,Guiratinga,-16.348389,-53.760964
5104500,Centro-Oeste,MT,Indiavaí,-15.497514,-58.573992
5104526,Centro-Oeste,MT,Ipiranga do Norte,-12.236842,-56.159793
5104542,Centro-Oeste,MT,Itanhangá,-12.234769,-56.649344
5104559,Centro-Oeste,MT,Itaúba,-11.007712,-55.246689
5104609,Centro-Oeste,MT,Itiquira,-17.206825,-54.144301
5104807,Centro-Oeste,MT,Jaciara,-15.964838,-54.964188
5104906,Centro-Oeste,MT,Jangada,-15.239687,-56.490195
5105002,Centro-Oeste,MT,Jauru,-15.341896,-58.879838
5105101,Centro-Oeste,MT,Juara,-11.250360,-57.513123
5105150,Centro-Oeste,MT,Juína,-11.422018,-58.762217
5105176,Centro-Oeste,MT,Juruena,-10.329113,-58.496309
5105200,Centro-Oeste,MT,Juscimeira,-16.044685,-54.888761
5105234,Centro-Oeste,MT,Lambari D Oeste,-15.315501,-58.005825
5105259,Centro-Oeste,MT,Lucas do Rio Verde,-13.070465,-55.921771
